,Unnamed: 0,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
64,102,2011,3,New York,Food,2,2.0,0.0,2011 3 New York,O157:H7,420,47126,0.946,0.888,60.0,44.0,5.59,50.45,"5,155","5,417",103
65,103,2011,7,New York,Food,2,1.0,0.0,2011 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0,5.59,50.45,"5,155","5,417",103
66,104,2009,7,New York,Food,2,0.0,0.0,2009 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0,5.59,50.45,"5,155","5,417",103
67,105,2009,7,New York,Food,2,2.0,0.0,2009 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0,5.59,50.45,"5,155","5,417",103
68,106,2009,7,New York,Food,3,1.0,0.0,2009 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0,5.59,50.45,"5,155","5,417",103
69,107,2000,7,New York,Food,2,,,2000 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0,5.59,50.45,"5,155","5,417",103
70,108,2001,7,New York,Food,9,,,2001 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0,5.59,50.45,"5,155","5,417",103
71,109,2007,7,New York,Food,3,2.0,0.0,2007 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0,5.59,50.45,"5,155","5,417",103
72,110,2007,7,New York,Food,2,2.0,0.0,2007 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0,5.59,50.45,"5,155","5,417",103
73,111,2008,7,New York,Food,8,8.0,0.0,2008 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0,5.59,50.45,"5,155","5,417",103
74,112,2009,8,New York,Food,2,1.0,0.0,2009 8 New York,O157:H7,420,47126,0.946,0.888,76.0,61.0,5.59,50.45,"5,155","5,417",103
75,113,1998,8,New York,Food,5,,,1998 8 New York,O157:H7,420,47126,0.946,0.888,76.0,61.0,5.59,50.45,"5,155","5,417",103
76,114,1998,8,New York,Food,19,1.0,0.0,1998 8 New York,O157:H7,420,47126,0.946,0.888,76.0,61.0,5.59,50.45,"5,155","5,417",103
77,115,2001,8,New York,Food,2,,,2001 8 New York,O157:H7,420,47126,0.946,0.888,76.0,61.0,5.59,50.45,"5,155","5,417",103
78,117,2005,10,New York,Food,3,0.0,0.0,2005 10 New York,O157:H7,420,47126,0.946,0.888,54.0,41.0,5.59,50.45,"5,155","5,417",103
79,118,2011,10,New York,Other,2,1.0,0.0,2011 10 New York,O157:H7,420,47126,0.946,0.888,54.0,41.0,5.59,50.45,"5,155","5,417",103
80,121,2000,9,New York,Food,18,3.0,,2000 9 New York,O157:H7,420,47126,0.946,0.888,65.0,50.0,5.59,50.45,"5,155","5,417",103
81,123,2008,9,New York,Food,8,5.0,0.0,2008 9 New York,O157:H7,420,47126,0.946,0.888,65.0,50.0,5.59,50.45,"5,155","5,417",103
82,124,2010,6,New York,Food,3,1.0,1.0,2010 6 New York,O157:H7,420,47126,0.946,0.888,85.0,70.0,5.59,50.45,"5,155","5,417",103
83,125,2015,6,New York,Food,2,1.0,0.0,2015 6 New York,O157:H7,420,47126,0.946,0.888,85.0,70.0,5.59,50.45,"5,155","5,417",103
84,126,2004,11,New York,Food,2,2.0,1.0,2004 11 New York,O157:H7,420,47126,0.946,0.888,44.0,32.0,5.59,50.45,"5,155","5,417",103
85,127,2005,1,New York,Food,2,2.0,0.0,2005 1 New York,O157:H7,420,47126,0.946,0.888,42.0,29.0,5.59,50.45,"5,155","5,417",103
86,128,2006,1,New York,Food,2,2.0,0.0,2006 1 New York,O157:H7,420,47126,0.946,0.888,42.0,29.0,5.59,50.45,"5,155","5,417",103
87,129,2011,1,New York,Food,2,1.0,0.0,2011 1 New York,O157:H7,420,47126,0.946,0.888,42.0,29.0,5.59,50.45,"5,155","5,417",103
88,130,2011,2,New York,Food,2,0.0,0.0,2011 2 New York,O157:H7,420,47126,0.946,0.888,50.0,35.0,5.59,50.45,"5,155","5,417",103
89,131,2010,7,Arizona,Food,16,5.0,0.0,2010 7 Arizona,O157:H7,60,113594,0.913,0.875,104.0,83.0,5.59,50.45,"5,155","5,417",103
90,132,2013,7,Arizona,Food,94,22.0,0.0,2013 7 Arizona,O157:H7,60,113594,0.913,0.875,104.0,83.0,5.59,50.45,"5,155","5,417",103
