,Year,Month,State,Primary Mode,Illnesses,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F),Length of Genome,%GC,Protein Coding Genes,Genes Overall,tRNA Genes
97,2000,6,Colorado,Food,7,2000 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59,5.59,50.45,5155,5417,103
98,2010,6,Colorado,Food,30,2010 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59,5.59,50.45,5155,5417,103
99,2015,6,Colorado,Food,6,2015 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59,5.59,50.45,5155,5417,103
100,2015,6,Colorado,Food,16,2015 6 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,90,59,5.59,50.45,5155,5417,103
101,2001,7,Colorado,Food,13,2001 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57,5.59,50.45,5155,5417,103
102,2003,7,Colorado,Food,2,2003 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57,5.59,50.45,5155,5417,103
103,2004,7,Colorado,Food,4,2004 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57,5.59,50.45,5155,5417,103
104,2006,7,Colorado,Food,20,2006 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57,5.59,50.45,5155,5417,103
105,2008,7,Colorado,Food,3,2008 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57,5.59,50.45,5155,5417,103
106,2017,7,Colorado,Other,18,2017 7 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,88,57,5.59,50.45,5155,5417,103
107,2012,9,Colorado,Other,5,2012 9 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,66,37,5.59,50.45,5155,5417,103
108,1999,9,Colorado,Food,9,1999 9 Colorado,O157:H7,52,103642,0.9470000000000001,0.906,66,37,5.59,50.45,5155,5417,103
