,Year,Month,State,Primary Mode,Illnesses,Hospitalizations,Deaths,Outbreak ID,Strain,Density (Pop./ mi2),Landarea(mi2),HDI (2017)[note 1],HDI (1995),Average High (F),Average Low (F)
81,2014,5,Ohio,Other,4,0.0,0.0,2014 5 Ohio,O146:H21,284,40861,0.917,0.874,82,61
82,2016,5,Ohio,Food,10,0.0,0.0,2016 5 Ohio,unknown,284,40861,0.917,0.874,82,61
83,2016,5,Ohio,Food,3,0.0,0.0,2016 5 Ohio,O26,284,40861,0.917,0.874,82,61
84,1999,10,Ohio,Food,47,23.0,0.0,1999 10 Ohio,O157:H7,284,40861,0.917,0.874,52,35
85,2003,10,Ohio,Food,10,1.0,0.0,2003 10 Ohio,O157:H7,284,40861,0.917,0.874,52,35
86,2015,10,Ohio,Other,5,0.0,0.0,2015 10 Ohio,O103,284,40861,0.917,0.874,52,35
87,2002,11,Ohio,Food,5,1.0,0.0,2002 11 Ohio,O157:H7,284,40861,0.917,0.874,41,26
88,2015,11,Ohio,Other,6,1.0,0.0,2015 11 Ohio,O103,284,40861,0.917,0.874,41,26
89,2011,5,Louisiana,Other,8,4.0,0.0,2011 5 Louisiana,O157:H7,108,43204,0.89,0.849,89.0,74.0
90,2011,11,Louisiana,Other,2,2.0,0.0,2011 11 Louisiana,O157:H7,108,43204,0.89,0.849,64.0,47.0
91,2012,11,Louisiana,Other,3,0.0,0.0,2012 11 Louisiana,O157:H7,108,43204,0.89,0.849,64.0,47.0
92,2012,4,Louisiana,Food,5,3.0,1.0,2012 4 Louisiana,O145,108,43204,0.89,0.849,85.0,68.0
93,2012,8,Louisiana,Food,3,2.0,0.0,2012 8 Louisiana,O157:H7,108,43204,0.89,0.849,87.0,72.0
94,2013,10,Louisiana,Other,3,1.0,0.0,2013 10 Louisiana,O157:H7,108,43204,0.89,0.849,72.0,53.0
95,2015,3,Louisiana,Other,15,12.0,0.0,2015 3 Louisiana,O157:H7,108,43204,0.89,0.849,78.0,60.0
96,2011,5,New York,Food,19,0.0,0.0,2011 5 New York,O6:H16,420,47126,0.946,0.888,79.0,64.0
97,2002,5,New York,Food,2,1.0,,2002 5 New York,O157:H7,420,47126,0.946,0.888,79.0,64.0
98,2006,5,New York,Food,3,2.0,0.0,2006 5 New York,O157:H7,420,47126,0.946,0.888,79.0,64.0
99,2011,3,New York,Food,53,0.0,0.0,2011 3 New York,unknown,420,47126,0.946,0.888,60.0,44.0
100,2000,3,New York,Food,43,2.0,,2000 3 New York,O157:H7,420,47126,0.946,0.888,60.0,44.0
101,2006,3,New York,Food,6,4.0,0.0,2006 3 New York,O157:H7,420,47126,0.946,0.888,60.0,44.0
102,2011,3,New York,Food,2,2.0,0.0,2011 3 New York,O157:H7,420,47126,0.946,0.888,60.0,44.0
103,2011,7,New York,Food,2,1.0,0.0,2011 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0
104,2009,7,New York,Food,2,0.0,0.0,2009 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0
105,2009,7,New York,Food,2,2.0,0.0,2009 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0
106,2009,7,New York,Food,3,1.0,0.0,2009 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0
107,2000,7,New York,Food,2,,,2000 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0
108,2001,7,New York,Food,9,,,2001 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0
109,2007,7,New York,Food,3,2.0,0.0,2007 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0
110,2007,7,New York,Food,2,2.0,0.0,2007 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0
111,2008,7,New York,Food,8,8.0,0.0,2008 7 New York,O157:H7,420,47126,0.946,0.888,83.0,69.0
112,2009,8,New York,Food,2,1.0,0.0,2009 8 New York,O157:H7,420,47126,0.946,0.888,76.0,61.0
113,1998,8,New York,Food,5,,,1998 8 New York,O157:H7,420,47126,0.946,0.888,76.0,61.0
114,1998,8,New York,Food,19,1.0,0.0,1998 8 New York,O157:H7,420,47126,0.946,0.888,76.0,61.0
115,2001,8,New York,Food,2,,,2001 8 New York,O157:H7,420,47126,0.946,0.888,76.0,61.0
116,2005,8,New York,Food,52,3.0,0.0,2005 8 New York,O45,420,47126,0.946,0.888,76.0,61.0
117,2005,10,New York,Food,3,0.0,0.0,2005 10 New York,O157:H7,420,47126,0.946,0.888,54.0,41.0
118,2011,10,New York,Other,2,1.0,0.0,2011 10 New York,O157:H7,420,47126,0.946,0.888,54.0,41.0
119,1999,4,New York,Food,9,,,1999 4 New York,O157:NM,420,47126,0.946,0.888,71.0,55.0
120,1999,4,New York,Food,9,,,1999 4 New York,(H-),420,47126,0.946,0.888,71.0,55.0
